data_origin,seed,sample_size,series,lag,acf,pacf,approximate_95_percent_bound
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,0,1.0,1.0,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,1,0.6942052923556308,0.694205292355631,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,2,0.4837397600894996,0.0035106076729137033,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,3,0.3274173276887951,-0.018637430625653713,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,4,0.2222531198806289,0.0014250634018518546,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,5,0.20465856134107702,0.10432815136474038,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,6,0.15858738536256417,-0.03569750860034651,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,7,0.14497373659263674,0.04234276127739077,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,8,0.10878562091885705,-0.02844800299746444,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,9,0.09906212219104503,0.04190376259486875,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,10,0.08835806975799666,-0.002951982520465112,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,11,0.07884257046334549,0.014269850641103041,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,12,0.08661722166891642,0.02723464571952576,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,13,0.08038554416473874,0.005956404212189444,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,14,0.068073530597495,-0.012667899330864776,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,15,0.050728763155235064,-0.005748939090754285,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,16,-0.010480227241444888,-0.09498267866498872,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,17,-0.058996710685199995,-0.04313826880172291,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,18,-0.07933561764806778,-0.006195552904937199,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,19,-0.08284619778345197,-0.0069643882714043245,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ar1_phi_0_7,20,-0.09316793055742921,-0.0473677906100786,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,0,1.0,1.0,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,1,0.4542782141840125,0.4542782141840125,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,2,-0.005068330979507915,-0.26641719620266346,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,3,0.016973168662409745,0.19112488178610873,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,4,-0.024504409282203935,-0.17436715056589247,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,5,-0.019839438524111366,0.12276648390090347,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,6,0.01214897508050525,-0.07246316516820372,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,7,0.0005529263336423306,0.04495429656475161,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,8,0.02213057922083822,0.0058116139562951205,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,9,0.038558286502901544,0.024745598679752095,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,10,0.02600918657711654,0.004594444521952398,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,11,-0.0017774721411059186,-0.020792903218536087,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,12,-0.032148253806798116,-0.02194293735990743,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,13,0.004426636861499598,0.04854952956134339,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,14,0.04655192103019255,0.013033299524775329,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,15,0.044275419278483524,0.028588969352810262,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,16,0.020502634569606954,-0.01744095930047127,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,17,0.0035671657214497014,0.01125311515842289,0.061980642139300234
synthetic_fixed_seed_not_usgs,170,1000,synthetic_ma1_theta_0_7,18,-0.0064206134351620465,-0.016339252751844478,0.061980642139300234
